Marker_ID,Frame,X,Y,Angle_degrees
26,477,159.25,140.25,173.88
26,479,156.75,139.0,173.88
26,480,156.0,139.25,172.15
26,482,156.75,142.0,175.91
26,483,157.75,141.25,173.88
26,484,158.5,140.0,175.91
26,485,159.75,139.5,174.09
26,486,160.25,140.25,176.19
26,487,160.75,141.5,174.09
26,488,159.75,143.0,175.91
26,489,159.25,143.5,176.05
26,490,158.25,142.75,173.88
26,492,155.25,141.25,169.88
26,493,155.0,141.0,170.22
26,494,154.75,141.5,169.88
26,495,155.0,141.0,169.51
26,496,155.75,140.5,169.88
26,497,156.5,139.25,168.31
26,498,158.0,139.75,170.22
26,499,158.75,141.25,170.54
26,500,159.25,142.75,169.88
26,501,159.0,144.5,166.43
26,502,158.75,146.0,166.43
26,503,158.25,146.0,165.96
26,504,156.5,145.25,165.96
26,505,155.25,144.75,164.05
26,506,154.5,145.0,160.91
26,507,154.5,145.5,163.50
26,508,154.5,145.5,163.50
26,509,155.25,144.5,162.18
26,510,156.75,143.5,162.18
26,511,157.75,143.5,162.76
26,512,158.75,144.25,164.58
26,513,159.75,145.75,164.58
26,514,159.75,147.5,164.58
26,515,159.75,149.25,162.18
26,516,159.5,149.75,162.76
26,517,157.5,149.5,162.18
26,518,156.5,150.0,159.68
26,519,156.0,149.75,159.68
26,520,156.25,150.5,159.68
26,521,156.75,150.75,158.96
26,522,156.75,149.5,157.83
26,525,159.75,148.5,159.23
26,527,160.75,151.75,160.35
26,528,161.25,153.75,158.55
26,529,160.5,154.25,159.68
26,530,159.25,153.75,157.83
26,532,157.25,154.0,156.04
26,533,157.5,155.0,157.07
26,534,157.5,155.5,155.22
26,535,157.5,155.25,157.07
26,537,159.0,152.5,156.04
26,538,159.75,152.5,156.80
26,539,161.25,153.25,159.23
26,540,162.0,155.25,158.55
26,542,162.75,158.25,156.80
26,543,161.5,158.25,156.04
26,546,159.25,159.75,156.04
26,547,159.75,160.5,155.22
26,548,160.0,160.25,153.43
26,549,160.5,158.75,153.43
26,550,160.75,157.75,155.10
26,551,161.5,157.75,156.04
26,552,163.0,158.75,156.80
26,553,163.75,159.5,156.80
26,557,161.75,163.0,152.59
26,559,160.5,164.25,153.43
26,561,161.5,164.0,151.70
26,562,161.25,163.0,152.59
26,563,161.75,161.75,152.59
26,564,162.75,161.75,152.59
26,565,164.0,162.75,155.10
26,568,165.75,166.75,153.43
26,571,162.0,167.5,150.02
26,572,162.0,168.0,151.70
26,573,162.0,168.5,152.53
26,574,162.5,168.0,150.75
26,575,162.5,166.5,151.70
26,576,163.25,165.25,150.95
26,577,164.25,165.5,151.82
26,578,165.25,166.5,151.82
26,580,166.75,170.25,152.59
26,581,166.75,170.75,152.59
26,582,165.75,171.5,148.39
26,583,164.0,172.0,150.02
26,584,163.75,172.5,150.02
26,585,163.5,173.25,151.70
26,587,164.25,173.25,150.75
26,593,168.75,174.5,152.59
26,594,168.5,175.5,152.59
26,595,167.5,175.5,151.70
26,597,165.25,176.5,149.04
26,600,165.5,177.25,147.38
26,601,165.75,175.75,148.39
26,602,166.5,174.75,148.39
26,603,167.5,174.75,148.39
26,604,169.0,174.75,150.95
26,606,170.5,178.25,150.02
26,608,169.5,179.5,150.02
26,609,168.5,180.0,149.04
26,611,167.25,181.0,147.38
26,616,169.75,179.0,149.35
26,618,172.25,180.5,150.95
26,621,172.25,184.25,150.02
26,623,169.25,184.5,147.38
26,625,168.75,185.75,147.99
26,630,171.75,183.25,149.35
26,637,170.25,190.0,145.78
26,638,170.5,190.75,146.31
26,642,171.5,187.5,146.82
26,643,172.75,187.0,146.82
26,644,174.0,187.75,146.82
26,646,175.75,191.25,146.82
26,649,173.0,193.0,144.69
26,650,172.0,194.0,144.69
26,655,173.5,191.5,145.78
26,657,175.75,192.25,145.30
26,659,178.0,195.75,145.78
26,660,178.0,196.5,145.78
26,664,174.0,198.5,143.13
26,668,175.0,196.5,142.77
26,670,177.25,196.75,145.30
26,676,176.75,203.0,144.25
26,687,181.25,206.0,146.82
26,690,177.75,207.75,143.13
26,693,179.0,207.5,141.63
26,694,178.75,206.0,142.77
26,700,183.0,211.25,143.13
26,703,179.75,212.75,143.13
26,704,180.0,213.5,141.63
26,706,180.5,213.25,143.13
26,709,183.0,210.25,142.77
26,710,184.25,211.25,142.77
26,712,185.75,214.0,143.13
26,715,183.0,216.25,143.13
26,719,183.0,217.75,141.63
26,721,183.0,215.0,141.63
26,722,183.75,214.25,142.77
26,728,185.5,219.0,141.63
26,729,184.5,220.0,138.99
26,730,184.5,220.25,138.99
26,735,184.75,217.25,141.63
26,736,186.25,217.5,141.63
26,737,187.25,218.25,141.63
26,738,188.25,219.5,140.19
26,739,189.25,221.0,141.63
26,746,187.5,224.5,138.99
26,747,187.0,222.75,140.44
26,754,190.5,225.0,140.19
26,761,188.5,225.0,137.60
26,762,189.25,224.0,138.99
26,774,192.0,228.0,138.99
26,775,191.5,227.25,140.19
26,780,193.5,230.75,140.19
26,781,192.5,231.75,138.99
26,785,193.0,233.75,138.99
26,787,192.75,231.0,137.49
26,789,195.5,231.0,137.49
26,794,195.5,236.0,136.33
26,795,194.75,236.5,138.99
26,798,195.25,237.25,137.60
26,800,195.25,234.75,136.27
26,802,196.75,235.0,138.99
26,804,199.25,237.5,138.81
26,805,199.5,238.25,137.60
26,811,197.0,241.0,137.73
26,814,198.0,238.25,137.49
26,817,200.75,240.75,138.99
26,820,199.0,243.25,136.33
26,821,198.0,243.75,137.73
26,823,198.75,244.25,137.60
26,829,202.25,243.5,136.33
26,831,203.25,245.5,136.27
26,836,200.5,248.5,136.33
26,837,200.75,248.5,135.00
26,838,200.75,247.25,135.00
26,840,201.25,245.0,136.27
26,842,203.5,246.75,137.60
26,843,204.5,247.75,137.60
26,846,203.25,250.25,136.33
26,847,202.75,251.0,135.00
26,852,203.0,249.5,133.73
26,854,204.75,249.0,138.81
26,857,207.75,252.25,136.27
26,858,207.25,253.25,135.00
26,863,205.5,254.75,132.40
26,868,208.5,252.75,133.73
26,881,211.75,254.75,136.27
26,882,213.25,255.75,133.73
26,893,213.75,255.5,135.00
26,898,215.5,259.75,132.51
26,904,214.5,260.0,131.19
26,905,215.0,259.25,132.40
26,906,216.5,259.0,132.51
26,907,218.0,259.5,133.73
26,908,218.5,260.75,132.40
26,912,217.0,263.5,132.27
26,917,217.25,261.75,131.19
26,921,222.0,262.75,131.19
26,938,223.5,267.75,129.81
26,942,223.25,268.25,129.81
26,952,225.75,271.25,131.01
26,953,225.75,271.75,129.81
26,957,226.5,269.0,130.03
26,969,229.25,273.25,127.57
26,974,234.25,275.0,129.81
26,984,232.5,275.75,128.66
26,986,235.25,276.5,131.19
26,997,235.25,279.5,127.57
26,1001,240.75,283.5,129.81
26,1003,239.25,285.75,127.23
26,1021,242.75,290.25,127.23
26,1022,242.75,288.75,128.66
26,1023,243.5,288.5,128.66
26,1026,248.5,290.0,132.40
26,1029,246.75,294.0,135.00
26,1030,246.0,294.75,132.40
26,1035,245.75,293.5,136.27
26,1037,248.0,292.75,135.00
26,1039,251.0,293.5,139.97
26,1041,252.0,296.0,138.81
26,1042,250.75,297.25,138.99
