Marker_ID,Frame,X,Y,Angle_degrees
26,0,425,327,104.04
26,1,425,327,104.04
26,2,425,327,104.04
26,3,425,327,104.04
26,4,425,327,104.04
26,5,425,327,104.70
26,6,425,327,104.04
26,7,425,327,104.04
26,8,425,327,104.04
26,9,425,327,104.04
26,10,425,327,104.04
26,11,425,327,104.04
26,12,425,327,104.04
26,13,425,327,104.04
26,14,425,327,104.04
26,15,425,327,104.04
26,16,425,327,104.04
26,17,425,327,104.04
26,18,425,327,104.04
26,19,425,327,104.04
26,20,425,327,104.04
26,21,425,327,104.04
26,22,425,327,104.04
26,23,425,327,104.04
26,24,425,327,104.04
26,25,425,327,104.04
26,26,425,327,104.04
26,27,425,327,104.93
26,28,425,327,104.04
26,29,425,327,104.04
26,30,425,327,104.04
26,31,425,327,104.04
26,32,425,327,104.04
26,33,425,327,104.04
26,34,425,327,104.04
26,35,425,327,104.04
26,36,425,327,104.04
26,37,425,327,104.04
26,38,425,327,104.04
26,39,425,327,104.04
26,40,425,327,104.04
26,41,425,327,104.04
26,42,425,327,104.04
26,43,425,327,104.04
26,44,425,327,104.04
26,45,425,327,104.04
26,46,425,327,104.04
26,47,425,327,104.04
26,48,425,327,104.04
26,49,425,327,104.04
26,50,425,327,104.04
26,51,425,327,104.04
26,52,425,327,104.04
26,53,425,327,104.93
26,54,425,327,104.04
26,55,425,327,104.04
26,56,425,327,104.04
26,57,425,327,104.04
26,58,425,327,104.93
26,59,425,327,104.93
26,60,425,327,104.04
26,61,425,327,104.04
26,62,425,327,104.04
26,63,425,327,104.04
26,64,425,327,104.04
26,65,425,327,104.04
26,66,425,327,104.04
26,67,425,327,104.04
26,68,425,327,104.04
26,69,425,327,104.04
26,70,425,327,104.04
26,71,425,327,104.04
26,72,426,327,104.93
26,73,426,326,103.13
26,74,424,327,102.93
26,75,423,327,102.93
26,76,422,327,102.23
26,77,421,327,101.31
26,78,419,326,100.22
26,79,418,326,100.22
26,80,417,325,99.31
26,81,415,324,98.26
26,82,414,323,97.47
26,83,412,321,96.55
26,84,410,318,94.61
26,85,409,315,92.77
26,86,407,313,90.94
26,87,406,312,90.92
26,88,404,312,90.00
26,89,403,311,89.08
26,90,402,310,88.12
26,91,401,310,87.23
26,92,399,308,86.25
26,93,397,305,85.39
26,94,395,303,83.45
26,95,394,301,82.65
26,96,391,298,82.53
26,97,388,294,80.69
26,98,385,290,79.61
26,99,382,286,77.97
26,100,381,283,77.77
26,101,381,281,75.07
26,102,382,280,76.18
26,103,382,280,75.30
26,104,384,280,75.07
26,105,384,280,75.07
26,106,384,279,75.07
26,107,384,279,74.18
26,108,383,278,73.03
26,109,383,278,72.15
26,110,383,277,71.57
26,111,383,277,71.57
26,112,383,277,71.57
26,113,383,277,71.57
26,114,383,277,71.57
26,115,383,277,71.57
26,116,383,277,71.57
26,117,383,277,71.57
26,118,383,277,71.57
26,119,383,277,71.57
26,120,383,277,71.57
26,121,383,277,71.57
26,122,383,277,71.57
26,123,383,277,71.57
26,124,383,277,71.57
26,125,383,277,70.41
26,126,384,277,71.27
26,127,382,275,69.23
26,128,377,270,66.32
26,129,374,266,65.94
26,130,372,263,63.02
26,131,370,261,59.35
26,132,369,261,57.32
26,133,368,263,56.82
26,134,367,266,55.30
26,135,368,269,54.04
26,136,369,272,52.05
26,137,369,274,50.91
26,143,280,206,21.63
26,144,281,213,20.45
26,145,290,219,21.63
26,146,297,225,20.45
26,147,299,229,19.59
26,148,296,232,18.15
26,149,293,235,15.57
26,150,287,238,13.82
26,151,281,241,12.72
26,152,278,243,11.84
26,153,275,245,11.13
26,154,274,246,9.90
26,155,275,246,10.22
