Marker_ID,Frame,X,Y,Angle_degrees
26,0,49.25,219.5,125.22
26,1,49.25,219.75,126.87
26,4,49.25,219.5,125.22
26,5,49.25,219.5,125.22
26,6,49.25,219.5,125.22
26,7,49.25,219.5,125.22
26,8,49.25,219.5,125.22
26,14,60.5,224.75,129.09
26,15,62.5,225.25,127.41
26,17,65.25,225.5,129.09
26,18,65.5,225.25,127.41
26,22,67.5,223.5,133.15
26,24,69.5,223.25,131.19
26,29,75.75,224.5,135.00
26,33,74.5,234.0,126.87
26,37,78.5,238.75,130.91
26,38,78.75,239.0,129.09
26,45,92.75,231.0,131.19
26,46,93.0,230.5,129.09
26,47,92.0,230.5,129.09
26,48,91.5,231.0,131.19
26,49,90.75,230.75,127.41
26,50,90.25,231.25,127.41
26,51,89.0,231.5,127.41
26,55,85.5,234.0,129.09
26,61,89.0,242.25,129.09
26,62,89.25,241.75,127.41
26,65,89.0,240.25,129.09
26,66,88.0,239.0,129.09
26,68,86.75,238.75,127.41
26,69,86.75,238.75,127.41
26,71,87.0,238.75,127.41
26,72,87.25,238.5,127.41
26,73,87.25,238.5,127.41
26,74,87.25,238.5,127.41
26,75,87.25,238.25,129.09
26,78,86.75,237.75,127.41
26,79,87.25,238.0,127.41
26,80,87.0,238.0,127.41
26,81,87.25,237.75,127.41
26,82,86.75,237.75,127.41
26,84,86.5,237.75,125.22
26,86,86.25,237.75,127.41
26,88,86.5,237.75,125.22
26,90,86.5,238.25,127.87
26,91,86.25,238.5,125.84
26,93,86.0,238.75,127.41
26,100,86.0,239.0,127.41
26,108,85.5,238.75,127.41
26,113,85.5,238.75,127.41
26,119,85.5,238.75,127.41
26,131,85.5,238.75,127.41
26,163,85.0,239.0,127.41
26,165,85.0,238.75,127.41
26,166,85.25,238.5,126.87
26,170,85.0,238.75,127.41
26,171,85.0,238.75,127.41
26,174,85.0,238.75,127.41
26,175,84.75,238.75,129.47
26,176,84.75,238.75,129.47
26,179,85.0,238.75,127.41
26,180,84.75,238.75,129.47
26,181,84.75,238.75,129.47
26,182,85.0,238.75,127.41
26,183,85.25,238.5,129.47
26,186,85.0,238.75,127.41
26,187,85.25,238.5,129.47
26,188,85.0,238.75,127.41
26,189,85.0,238.75,127.41
26,190,85.25,238.5,129.47
26,191,85.25,238.5,129.47
26,192,85.0,238.75,127.41
26,193,85.25,238.5,129.47
26,194,85.25,238.5,129.47
26,196,84.75,238.75,129.47
26,197,84.75,238.75,129.47
26,198,85.25,238.5,129.47
26,202,85.25,238.5,129.47
26,203,85.0,238.75,127.41
26,204,85.25,238.5,129.47
26,205,85.0,238.75,127.41
26,206,85.25,238.5,129.47
26,208,85.0,238.75,127.41
26,209,85.0,238.75,127.41
26,211,84.75,238.75,129.47
26,212,84.75,238.75,129.47
26,215,85.0,238.75,127.41
26,216,85.25,238.5,129.47
26,217,84.75,238.75,129.47
26,218,85.25,238.5,129.47
26,221,84.75,238.75,129.47
26,222,84.75,238.75,129.47
26,223,85.0,238.75,127.41
26,228,85.25,238.5,129.47
26,229,85.0,238.75,127.41
26,230,85.25,238.5,129.47
26,231,85.0,238.75,127.41
26,232,84.75,238.75,129.47
26,233,85.25,238.5,129.47
26,234,85.25,238.5,129.47
26,236,84.75,238.75,129.47
26,238,85.0,238.75,127.41
26,239,85.0,238.75,127.41
26,240,84.75,238.75,129.47
26,241,84.75,238.75,129.47
26,243,85.0,238.75,127.41
26,244,84.75,238.75,129.47
26,246,85.0,238.75,127.41
26,248,85.25,238.5,129.47
26,250,84.75,238.75,129.47
26,251,84.75,238.75,129.47
26,252,85.25,238.5,129.47
26,253,84.75,238.75,129.47
26,254,85.0,238.75,127.41
26,255,85.25,238.5,129.47
26,257,85.0,238.75,127.41
26,259,84.75,238.75,129.47
26,261,85.0,238.75,127.41
26,262,85.25,238.5,129.47
26,263,84.75,238.75,129.47
26,264,84.75,238.75,129.47
26,265,84.75,238.75,129.47
26,266,85.25,238.5,129.47
26,267,85.25,238.5,129.47
26,269,84.75,238.75,129.47
26,271,84.75,238.75,129.47
26,272,84.75,238.75,129.47
26,274,85.0,238.75,127.41
26,275,85.25,238.5,129.47
26,276,85.25,238.5,129.47
26,277,85.0,238.75,127.41
26,278,85.25,238.5,129.47
26,280,85.25,238.5,129.47
26,281,84.75,238.75,129.47
26,282,85.0,238.75,127.41
26,284,85.25,238.5,129.47
26,285,85.25,238.5,129.47
26,286,85.25,238.5,129.47
26,288,85.25,238.5,129.47
26,290,84.75,238.75,129.47
26,293,85.25,238.5,129.47
26,294,85.0,238.75,127.41
26,295,85.25,238.5,129.47
26,297,84.75,238.75,129.47
26,298,85.0,238.75,127.41
26,299,84.75,238.75,129.47
26,301,84.75,238.75,129.47
26,302,85.0,238.75,127.41
26,303,85.0,238.75,127.41
26,304,85.25,238.5,129.47
26,306,85.25,238.5,129.47
26,307,85.0,238.75,127.41
26,310,84.75,238.75,129.47
26,312,84.75,238.75,129.47
26,313,84.75,238.75,129.47
26,314,84.75,238.75,129.47
26,315,84.75,238.75,129.47
26,316,85.25,238.5,129.47
26,317,85.25,238.5,129.47
26,319,84.75,238.75,129.47
26,320,84.75,238.75,129.47
26,321,85.0,238.75,127.41
26,322,85.0,238.75,127.41
26,323,85.0,238.75,127.41
26,326,85.0,238.75,127.41
26,327,85.25,238.5,129.47
26,328,85.25,238.5,129.47
26,329,85.25,238.5,129.47
26,330,85.25,238.5,129.47
26,331,85.25,238.5,129.47
26,332,85.0,238.75,127.41
26,333,84.75,238.75,129.47
26,334,85.25,238.5,129.47
26,336,85.25,238.5,129.47
26,337,85.25,238.5,129.47
26,339,85.25,238.5,129.47
26,340,85.25,238.5,129.47
26,341,84.75,238.75,129.47
26,342,84.75,238.75,129.47
26,343,84.75,238.75,129.47
26,344,84.75,238.75,129.47
26,346,85.25,238.5,129.47
26,347,84.75,238.75,129.47
26,348,85.25,238.5,129.47
26,349,84.75,238.75,129.47
26,350,84.75,238.75,129.47
26,352,85.25,238.5,129.47
26,354,84.75,238.75,129.47
26,355,85.0,238.75,127.41
26,356,85.25,238.5,129.47
26,359,85.25,238.5,129.47
26,360,85.0,238.75,127.41
26,361,85.25,238.5,129.47
26,363,84.75,238.75,129.47
26,364,85.0,238.75,127.41
26,368,85.0,238.75,127.41
26,369,84.75,238.75,129.47
26,370,85.25,238.5,129.47
26,372,84.75,238.75,129.47
26,373,85.25,238.5,129.47
26,375,84.75,238.75,129.47
26,377,85.25,238.5,129.47
26,378,85.25,238.75,129.47
26,379,85.25,238.5,129.47
26,380,85.25,238.5,129.47
26,381,85.25,238.5,129.47
26,383,85.25,238.5,129.47
26,384,85.25,238.5,129.47
26,386,85.25,238.5,129.47
26,392,85.25,238.75,129.47
26,394,85.0,238.75,127.41
26,395,85.0,238.75,127.41
26,396,85.0,238.75,127.41
26,397,84.75,238.75,129.47
26,399,84.75,238.75,129.47
26,400,85.25,238.5,129.47
26,401,85.25,238.5,129.47
26,402,85.25,238.5,129.47
26,403,84.75,238.75,129.47
26,405,84.75,238.75,129.47
26,407,85.25,238.5,129.47
26,408,84.75,238.75,129.47
26,409,84.75,238.75,129.47
26,410,85.0,238.75,127.41
26,411,85.25,238.5,129.47
26,412,85.25,238.5,129.47
26,413,85.25,238.5,129.47
26,415,84.75,238.75,129.47
26,416,84.75,238.75,129.47
26,417,85.0,238.75,127.41
26,418,85.0,238.75,127.41
26,419,84.75,238.75,129.47
26,420,85.25,238.5,129.47
26,422,85.25,238.5,129.47
26,423,84.75,238.75,129.47
26,424,84.75,238.75,129.47
26,425,85.0,238.75,127.41
26,426,85.25,238.5,129.47
26,427,85.0,238.75,127.41
26,428,85.0,238.75,127.41
26,429,84.75,238.75,129.47
26,431,85.25,238.5,129.47
26,432,85.25,238.5,129.47
26,433,84.75,238.75,129.47
26,434,85.0,238.75,127.41
26,435,85.25,238.5,129.47
26,436,85.0,238.75,127.41
26,437,84.75,238.75,129.47
