Marker_ID,Frame,X,Y,Angle_degrees
26,14,257.0,383.25,93.18
26,20,236.0,376.0,86.99
26,28,247.75,376.0,63.43
26,32,258.0,382.5,32.74
26,34,260.75,392.5,19.65
26,36,261.5,400.0,4.09
26,38,266.75,396.75,-14.93
26,41,258.25,395.5,-26.57
26,45,265.75,384.25,-47.73
26,46,266.0,383.75,-47.73
26,47,266.5,384.5,-41.99
26,51,278.5,370.0,-39.29
26,61,230.0,337.5,-50.71
26,65,221.75,319.0,-30.26
26,66,218.25,316.25,-32.47
26,67,217.5,313.5,-32.47
26,71,224.75,315.75,-45.00
26,72,225.5,317.75,-45.00
26,73,225.25,320.25,-45.00
26,76,226.25,320.5,-32.47
26,77,225.25,320.75,-36.03
26,79,222.75,321.0,-32.47
26,80,223.25,319.0,-34.99
26,82,225.75,315.5,-33.69
26,83,226.75,317.75,-39.29
26,87,234.75,316.0,-33.69
26,89,240.25,310.75,-33.69
26,91,236.75,312.75,-30.26
26,92,238.0,311.5,-30.96
26,93,239.75,308.75,-32.47
26,94,241.0,304.0,-36.87
26,99,223.5,288.5,-42.51
26,102,206.0,282.75,-45.00
26,103,201.5,281.0,-42.51
26,168,158.25,53.75,14.74
26,169,159.25,54.0,16.39
26,170,161.0,53.25,13.24
26,172,169.5,52.25,14.04
26,173,170.0,52.25,14.74
26,174,171.25,49.75,18.43
26,175,170.25,45.5,18.43
26,176,170.0,43.0,23.96
26,177,168.25,41.0,33.69
26,179,160.5,45.75,51.34
26,184,156.0,24.0,82.23
26,185,153.5,23.25,87.40
26,186,150.5,22.75,92.49
26,187,149.0,21.25,97.43
26,188,147.5,18.25,109.98
26,189,147.75,15.0,120.07
26,203,163.75,20.5,160.71
26,204,165.0,23.5,165.26
26,207,170.25,46.75,-170.54
26,208,169.75,48.25,-165.96
26,209,167.0,51.25,-159.78
26,210,164.0,57.25,-152.10
26,216,144.5,91.5,-158.75
26,221,125.5,121.75,-150.64
26,227,158.0,175.5,180.00
26,239,277.75,378.0,117.76
26,240,278.75,376.0,122.91
26,243,287.5,378.0,112.38
26,245,284.25,378.0,112.83
26,246,280.0,377.75,112.83
26,247,278.25,378.25,111.80
26,248,280.25,378.25,108.43
26,252,263.5,380.75,90.00
26,253,261.25,380.25,82.57
26,254,261.5,378.5,82.23
26,256,268.5,371.75,54.16
26,257,268.5,369.75,57.09
26,263,300.5,372.0,15.52
26,267,324.0,373.25,-17.53
26,268,323.75,375.75,-22.38
26,269,322.75,375.75,-21.80
26,270,324.5,374.75,-40.24
26,271,326.5,373.0,-51.34
26,272,329.5,371.5,-54.78
26,273,333.75,374.75,-63.43
26,274,336.5,378.25,-65.77
26,275,336.0,380.25,-59.53
26,276,335.5,381.25,-58.57
26,277,336.5,378.25,-62.10
26,278,335.0,373.5,-59.53
26,279,333.0,371.75,-58.57
26,282,316.25,375.0,-55.30
26,283,313.5,373.75,-48.01
26,286,310.25,360.0,-60.64
26,287,307.0,359.5,-62.10
26,288,304.75,357.75,-62.10
26,289,303.75,355.75,-59.04
26,290,303.75,353.0,-56.31
26,291,302.0,350.25,-49.09
26,292,299.5,347.0,-47.12
26,296,283.0,335.5,-60.26
26,304,283.75,280.75,-45.00
26,307,276.5,270.5,-52.43
26,311,283.5,256.5,-57.26
26,312,282.75,255.25,-52.43
26,313,283.75,252.5,-54.46
26,316,293.75,242.5,-47.29
26,317,296.25,241.0,-53.75
26,318,295.75,238.25,-53.75
26,324,313.0,204.5,-63.43
26,331,314.75,160.0,-74.05
26,332,315.5,154.5,-76.61
26,333,318.75,151.0,-81.87
26,335,326.0,140.0,-81.87
26,336,329.0,137.5,-82.23
26,337,331.5,136.0,-82.23
26,338,333.5,132.25,-84.81
26,339,337.5,129.5,-84.81
26,340,340.5,128.5,-84.81
26,341,341.75,124.0,-87.14
26,365,404.75,102.25,-95.44
26,367,406.75,107.75,-95.44
26,369,406.5,98.0,-90.00
26,371,408.75,104.25,-87.51
26,372,413.5,98.25,-85.03
26,373,419.0,99.75,-90.00
26,374,420.5,104.0,-90.00
26,375,422.75,106.0,-90.00
26,377,419.25,116.75,-95.44
26,381,405.5,144.0,-100.78
26,386,385.25,180.5,-112.83
26,387,383.0,184.5,-116.57
26,389,379.0,197.25,-109.44
26,390,377.75,199.0,-102.53
26,391,375.0,202.5,-92.86
26,392,371.5,205.75,-103.39
26,393,368.5,207.0,-105.26
26,394,368.5,210.25,-106.70
26,395,368.75,213.25,-114.23
26,396,366.0,211.5,-115.35
26,397,365.0,214.5,-115.35
26,398,362.5,217.0,-115.35
26,399,361.75,218.0,-111.80
26,408,343.0,291.25,-101.31
26,411,330.25,296.0,-104.04
26,412,328.5,299.0,-101.31
26,413,328.0,300.75,-98.53
26,414,326.0,300.0,-90.00
26,418,310.0,311.5,-93.01
26,421,303.25,314.25,-84.29
26,422,300.0,316.0,-83.99
26,423,297.0,318.25,-87.14
26,425,289.5,322.5,-81.87
26,426,289.5,325.5,-75.26
26,428,292.75,330.0,-67.17
26,429,290.5,331.0,-66.04
26,430,288.25,331.0,-64.80
26,431,289.5,330.0,-61.93
26,432,290.25,328.5,-64.98
26,434,291.25,320.75,-68.75
26,435,290.5,318.5,-67.62
26,440,291.25,286.25,-56.31
26,448,262.75,244.5,-56.31
26,453,282.25,230.25,-40.91
26,454,281.25,231.0,-45.00
26,455,281.75,230.5,-51.84
26,456,284.25,229.5,-57.26
26,459,297.0,218.25,-56.31
26,460,299.0,217.75,-59.93
26,461,302.0,216.25,-62.24
26,462,306.25,214.0,-66.04
26,463,311.75,211.75,-68.20
26,464,315.25,207.75,-66.80
26,465,319.25,205.5,-72.35
26,466,319.75,207.5,-74.74
26,467,318.25,209.0,-72.35
26,468,316.5,209.5,-80.13
26,469,316.75,208.75,-85.24
26,470,316.25,206.75,-82.23
26,471,315.5,205.5,-85.03
26,472,316.5,206.5,-85.24
26,473,318.25,207.25,-87.51
26,474,320.5,207.25,-87.51
26,475,323.0,209.5,-87.71
26,476,323.25,206.75,-87.40
26,477,323.75,206.0,-90.00
26,478,323.25,207.0,-85.24
26,479,322.0,209.25,-87.71
26,480,322.25,211.5,-92.39
26,481,324.0,211.75,-92.39
26,482,323.75,210.5,-97.43
26,483,324.5,205.0,-97.77
26,484,324.75,203.0,-94.76
26,485,325.5,201.0,-97.13
26,486,326.75,197.75,-97.43
26,487,329.75,194.75,-94.57
26,488,331.0,193.0,-90.00
26,489,332.5,193.0,-87.61
26,490,329.25,189.75,-90.00
26,491,327.25,188.5,-85.43
26,492,325.0,188.5,-87.71
26,493,324.75,187.75,-90.00
26,494,326.25,189.0,-90.00
26,496,323.75,183.25,-94.57
26,497,321.0,182.75,-94.76
26,498,318.25,184.0,-94.76
26,499,316.75,181.25,-92.29
26,500,315.75,181.5,-90.00
26,501,314.5,184.25,-87.61
26,502,312.0,184.25,-92.39
26,503,309.0,185.75,-92.39
26,504,304.25,191.0,-92.39
26,505,300.5,195.5,-94.57
26,506,298.25,200.0,-99.87
26,507,296.25,203.25,-102.80
26,508,290.25,201.0,-106.93
26,509,289.25,202.5,-105.26
26,510,286.0,205.5,-104.04
26,511,285.0,208.25,-99.46
26,512,284.5,211.25,-102.26
26,514,282.5,224.0,-102.80
26,519,287.75,264.75,-109.98
26,520,287.0,264.25,-109.18
26,521,288.75,265.5,-106.93
26,522,290.75,267.0,-106.26
26,523,292.5,267.0,-108.43
26,524,295.25,267.0,-105.07
26,525,298.5,269.75,-101.77
26,526,298.75,270.0,-99.87
26,527,302.5,270.5,-97.13
26,528,303.5,268.0,-90.00
26,529,303.0,267.25,-87.80
26,530,302.5,265.75,-85.24
26,531,304.0,264.0,-83.16
26,532,302.75,264.5,-80.54
26,533,302.0,259.0,-80.54
26,534,302.25,255.5,-80.91
26,535,300.0,254.0,-78.69
26,537,303.75,245.0,-76.50
26,538,304.75,243.25,-73.74
26,539,305.75,246.25,-71.57
26,540,304.25,247.25,-69.44
26,541,302.0,250.25,-68.20
26,542,302.5,253.75,-70.20
26,543,304.25,256.75,-72.26
26,544,306.75,258.5,-70.82
26,545,305.75,256.0,-70.82
26,546,307.5,254.5,-76.50
26,547,307.0,255.5,-79.11
26,548,306.5,254.75,-85.76
26,549,308.75,254.5,-83.42
26,550,309.5,255.0,-81.25
26,551,308.25,255.0,-76.50
26,552,309.0,255.5,-83.42
26,553,306.75,258.25,-80.91
26,554,305.25,262.0,-79.11
26,555,305.0,266.5,-83.16
26,556,306.25,272.25,-82.87
26,557,306.25,277.5,-87.61
26,558,306.25,278.0,-90.00
26,559,307.0,281.0,-90.00
26,560,307.25,284.75,-90.00
26,561,309.0,287.25,-92.20
26,562,311.75,288.5,-87.80
26,563,313.25,289.5,-85.76
26,564,314.75,289.25,-85.60
26,565,315.5,290.75,-83.66
26,566,315.0,292.75,-81.57
26,567,316.75,293.75,-81.25
26,568,319.25,295.75,-78.69
26,569,320.5,295.5,-75.38
26,571,320.25,285.75,-78.69
26,572,320.0,284.75,-79.11
26,573,320.25,280.75,-78.69
26,574,322.0,277.25,-75.96
26,575,324.0,275.5,-72.26
26,576,323.75,272.25,-66.50
26,577,325.0,268.25,-64.44
26,578,323.25,267.75,-62.45
26,579,322.75,267.5,-60.52
26,580,324.0,267.5,-57.53
26,581,327.0,267.25,-56.31
26,583,331.75,259.0,-60.52
26,584,334.25,260.25,-58.67
26,585,331.5,259.75,-58.67
26,586,333.25,258.5,-60.52
26,587,336.0,257.0,-62.45
26,588,336.25,256.75,-60.52
26,589,335.75,259.75,-56.89
26,590,336.75,260.5,-61.56
26,591,335.25,263.75,-65.38
26,592,333.5,267.25,-63.43
26,593,334.5,270.5,-68.20
26,594,335.5,272.0,-68.20
26,596,341.0,262.0,-79.51
26,597,340.0,263.75,-75.47
26,598,342.25,267.25,-73.50
26,599,347.0,267.75,-70.91
26,600,347.5,266.75,-68.20
26,601,347.0,267.5,-68.20
26,602,349.75,268.25,-70.20
26,603,350.25,272.5,-69.68
26,604,349.75,274.5,-69.68
26,605,351.5,274.75,-69.68
26,606,352.5,273.0,-68.96
26,617,375.0,136.75,-39.29
26,619,384.25,123.25,-42.27
26,622,403.0,95.75,-45.00
26,623,406.25,91.5,-42.40
26,624,411.25,92.75,-38.93
26,625,413.0,92.5,-35.13
26,626,410.25,93.0,-29.74
26,627,406.0,97.25,-29.98
26,629,392.5,105.5,-38.66
26,630,390.5,108.25,-52.77
26,631,388.0,111.75,-61.11
26,632,388.5,110.75,-67.52
26,633,391.25,110.75,-75.07
26,634,390.75,110.0,-78.69
26,635,389.75,104.75,-80.54
26,636,390.25,102.25,-83.09
26,637,390.25,101.0,-84.64
26,688,533.75,108.5,-61.56
26,689,529.5,112.25,-59.42
26,690,525.75,114.5,-61.39
26,692,520.5,125.75,-63.43
26,693,525.25,131.25,-62.45
26,694,527.75,133.25,-59.42
26,695,528.75,136.25,-60.52
26,696,527.25,138.5,-62.45
26,697,522.5,138.25,-65.38
26,698,517.75,136.75,-73.07
26,699,514.5,136.75,-67.38
26,700,510.0,136.75,-70.20
26,701,505.25,135.5,-75.47
26,702,498.25,136.5,-75.47
26,703,490.5,133.5,-83.16
26,704,484.75,132.0,-94.97
26,705,480.0,129.75,-92.39
26,706,475.5,128.25,-92.29
26,707,471.75,129.25,-87.71
26,708,467.0,131.5,-83.42
26,711,446.5,131.75,-98.13
26,712,443.25,132.0,-94.76
26,713,438.5,131.75,-87.80
26,714,436.5,132.0,-85.76
26,715,434.0,135.0,-87.88
26,716,425.25,137.0,-96.58
26,717,426.75,133.5,-101.31
26,718,424.75,128.5,-111.37
26,719,427.5,125.75,-111.37
26,720,431.75,126.0,-106.93
26,721,436.5,126.5,-103.50
26,722,436.25,128.25,-104.62
26,723,437.0,128.25,-117.90
26,725,446.25,127.5,-101.77
26,726,448.25,129.25,-96.58
26,727,449.75,130.5,-98.43
26,728,449.5,132.5,-102.99
26,729,445.25,134.0,-108.43
26,730,443.0,133.75,-115.56
26,731,440.75,129.75,-116.57
26,732,439.25,125.75,-124.99
26,733,437.25,122.5,-124.99
26,737,430.5,147.0,-120.58
26,738,432.5,151.25,-114.78
26,741,432.75,172.0,-123.11
26,742,432.5,173.25,-126.87
26,743,429.5,177.0,-127.30
26,744,426.75,177.5,-131.99
26,745,426.25,180.0,-128.66
26,746,424.25,185.75,-113.50
26,749,418.5,207.25,-114.62
26,750,416.0,209.0,-109.09
26,751,416.0,210.0,-111.04
26,752,416.5,211.25,-111.04
26,753,412.25,220.25,-111.04
26,754,413.0,223.0,-112.93
26,755,411.75,224.25,-111.80
26,756,411.25,223.0,-113.75
26,757,411.75,223.25,-114.78
26,758,413.25,223.75,-111.04
26,759,412.5,228.25,-104.53
26,761,408.75,243.5,-94.09
26,762,403.75,244.5,-100.12
26,763,401.25,248.25,-102.09
26,764,401.0,252.0,-104.53
26,767,407.75,268.25,-105.07
26,768,406.5,271.0,-104.53
26,769,406.5,272.5,-104.53
26,770,410.75,273.5,-104.04
26,771,412.5,277.0,-100.49
26,772,410.75,280.25,-96.34
26,773,411.0,284.0,-94.24
26,774,404.75,289.0,-90.00
26,775,400.5,292.25,-87.88
26,776,399.0,295.0,-87.88
26,777,397.0,298.25,-85.76
26,779,390.0,297.75,-85.76
26,780,390.0,296.0,-85.76
26,781,388.25,295.0,-90.00
26,782,389.5,293.0,-87.95
26,783,391.75,291.5,-90.00
26,784,391.0,291.5,-90.00
26,785,392.5,293.0,-85.76
26,786,394.25,292.75,-87.88
26,787,394.0,293.5,-85.91
26,788,399.0,295.75,-81.57
26,789,404.5,295.5,-83.42
26,790,405.25,294.25,-83.16
26,792,403.0,282.75,-87.88
26,793,401.5,275.75,-94.40
26,794,401.0,269.25,-92.12
26,795,401.5,264.0,-85.43
26,796,401.25,260.0,-80.91
26,797,400.0,258.0,-76.50
26,798,402.5,258.25,-76.50
26,799,398.75,257.5,-73.74
26,800,397.5,256.75,-72.26
26,801,397.75,254.5,-74.36
26,802,399.5,252.0,-78.69
26,803,397.25,248.25,-75.96
26,804,401.5,241.0,-78.69
26,805,403.25,235.0,-79.11
26,806,404.25,228.75,-79.51
26,807,408.25,223.0,-77.47
26,808,412.25,218.0,-81.57
26,809,408.5,213.25,-83.66
