Marker_ID,Frame,X,Y,Angle_degrees
12,4126,385.75,87.5,-90.00
26,422,22.0,155.75,-86.19
26,423,26.0,159.5,-86.31
26,424,29.75,162.25,-80.54
26,425,34.25,164.25,-80.54
26,426,37.5,165.25,-80.54
26,427,40.25,168.25,-80.84
26,428,43.0,171.0,-76.87
26,429,45.25,173.25,-76.87
26,430,46.25,174.75,-76.87
26,431,46.75,177.25,-76.87
26,432,47.5,179.0,-76.43
26,433,49.25,179.5,-76.43
26,434,50.75,180.75,-77.91
26,435,53.0,182.25,-80.22
26,436,55.25,181.75,-77.91
26,437,53.0,179.75,-77.91
26,438,48.0,177.0,-79.88
26,439,45.25,175.5,-79.88
26,440,43.25,175.0,-77.91
26,441,42.0,175.75,-77.47
26,442,43.75,176.75,-80.22
26,443,48.5,177.0,-79.88
26,444,50.75,177.75,-80.22
26,445,51.5,177.75,-78.31
26,446,52.0,179.0,-78.31
26,447,52.75,178.5,-77.91
26,448,54.25,178.75,-76.43
26,449,54.5,179.0,-76.43
26,450,53.0,178.25,-75.96
26,451,51.25,177.5,-75.96
26,452,49.0,177.0,-77.91
26,453,48.25,177.0,-77.91
26,455,56.0,178.75,-78.31
26,456,56.75,180.0,-78.31
26,457,57.0,180.5,-77.91
26,458,57.0,180.25,-78.31
26,459,57.0,179.25,-76.43
26,460,57.75,179.25,-78.31
26,461,58.0,179.0,-76.43
26,462,57.25,177.75,-75.96
26,463,56.0,176.5,-75.96
26,464,53.75,176.0,-75.47
26,465,53.0,176.5,-77.91
26,466,54.75,176.75,-80.22
26,467,60.0,178.5,-77.91
26,468,61.5,180.0,-76.43
26,469,62.25,181.25,-78.31
26,470,62.5,181.25,-76.43
26,471,62.5,180.75,-75.96
26,472,62.25,180.5,-76.43
26,473,62.5,180.5,-75.96
26,474,62.25,179.75,-75.96
26,475,60.75,178.5,-75.96
26,476,59.0,177.5,-74.05
26,477,57.75,177.5,-75.96
26,478,57.75,177.5,-75.96
26,479,60.5,178.75,-77.91
26,480,64.5,179.5,-75.96
26,481,65.5,181.75,-75.96
26,482,66.0,182.25,-75.96
26,483,66.0,182.25,-75.96
26,484,65.5,182.0,-75.96
26,485,65.25,180.75,-75.96
26,486,65.25,180.5,-75.96
26,487,66.25,181.0,-75.96
26,488,66.25,179.75,-75.96
26,489,65.75,179.0,-74.05
26,490,63.5,177.75,-74.05
26,491,62.25,177.5,-74.05
26,492,61.0,177.25,-73.50
26,493,62.75,178.5,-75.96
26,494,67.75,180.0,-75.96
26,495,69.75,182.0,-75.96
26,496,71.0,183.0,-75.96
26,497,71.0,184.0,-75.96
26,498,70.75,184.0,-75.96
26,499,70.75,183.0,-72.18
26,500,71.0,183.0,-74.05
26,501,71.0,182.75,-74.05
26,502,70.0,181.5,-73.50
26,503,68.25,180.5,-75.96
26,504,66.0,179.5,-74.05
26,505,65.5,179.5,-75.96
26,506,67.0,180.5,-77.91
26,507,71.75,181.75,-75.96
26,508,74.25,183.5,-74.58
26,509,74.75,184.75,-76.43
26,510,74.75,185.75,-76.43
26,511,74.75,185.0,-75.96
26,512,73.75,184.0,-74.05
26,513,73.0,182.75,-74.05
26,514,74.0,182.25,-74.05
26,515,73.75,181.25,-74.05
26,516,72.5,180.0,-74.05
26,517,71.0,178.75,-71.57
26,518,69.25,178.5,-73.50
26,519,69.0,179.0,-74.05
26,520,71.25,180.25,-74.05
26,521,76.0,181.75,-73.50
26,522,77.25,183.5,-74.05
26,523,78.0,184.75,-74.58
26,524,78.0,185.0,-74.05
26,525,77.75,184.75,-74.58
26,526,77.0,184.0,-74.05
26,527,77.5,182.5,-75.96
26,528,77.0,181.75,-81.87
26,529,75.5,179.0,-86.19
26,530,74.0,177.25,-95.91
26,531,73.75,176.25,-102.09
26,532,74.5,175.25,-106.50
26,534,77.75,166.25,-119.25
26,536,75.5,158.0,-128.05
26,537,73.75,157.75,-135.00
26,538,72.25,159.25,-142.70
26,539,69.75,161.0,-149.04
26,540,66.5,162.75,-153.43
26,541,63.25,164.5,-160.35
26,542,61.0,165.5,-165.47
26,543,61.25,167.0,-171.87
26,544,61.25,165.5,-173.88
26,546,56.25,156.25,175.91
26,548,49.25,152.75,170.22
26,549,50.25,153.75,165.47
26,551,51.75,161.25,154.36
26,552,50.5,163.5,153.43
26,553,50.75,167.25,150.75
26,556,58.75,183.75,142.31
26,557,58.75,186.0,140.71
26,558,58.0,186.25,140.44
26,559,58.0,187.5,140.44
26,560,59.25,190.75,140.44
26,564,77.5,207.75,132.14
26,570,106.0,229.75,123.69
26,571,106.75,230.5,126.87
26,572,108.25,233.25,125.75
26,576,133.0,248.75,114.78
26,577,135.25,249.5,118.30
26,578,137.0,251.25,119.25
26,579,140.25,253.0,118.30
26,583,163.0,262.75,107.82
26,584,162.0,262.25,110.77
26,585,161.75,263.25,109.03
26,586,163.5,265.25,107.82
26,588,172.0,270.25,99.78
26,589,173.75,271.75,101.69
26,590,171.25,271.25,104.04
26,591,169.75,273.25,99.46
26,592,169.5,277.75,93.81
26,593,170.25,281.5,88.09
26,594,170.75,283.0,82.41
26,595,171.25,284.5,75.96
26,596,170.0,285.5,67.07
26,598,165.25,289.0,59.04
26,599,166.25,291.25,49.18
26,600,169.0,291.5,42.27
26,601,173.25,290.5,36.47
26,602,175.75,289.0,32.01
26,603,174.25,286.75,30.26
26,604,175.25,284.25,24.62
26,605,177.5,281.5,19.09
26,606,180.5,277.75,10.12
26,607,182.0,275.75,10.12
26,608,184.25,276.0,10.12
26,609,186.0,279.0,7.85
26,610,186.0,278.5,6.12
26,611,187.5,277.0,3.95
26,615,194.0,255.5,-1.91
26,621,190.25,220.75,-14.04
26,622,187.5,218.25,-14.04
26,623,185.25,214.0,-14.53
26,624,184.5,209.5,-14.53
26,628,180.75,184.5,-22.17
26,632,164.25,162.75,-26.57
26,635,158.75,144.0,-29.25
