Marker_ID,Frame,X,Y,Angle_degrees
26,0,600,362,60.49
26,1,600,362,59.68
26,2,600,362,60.14
26,3,600,362,60.95
26,4,600,362,60.49
26,5,600,362,60.49
26,6,600,362,60.95
26,7,600,362,60.95
26,8,600,362,59.68
26,9,600,362,60.49
26,10,600,362,60.95
26,11,600,362,60.95
26,12,600,363,60.02
26,13,600,362,60.95
26,14,600,362,60.95
26,15,600,362,60.95
26,16,600,362,59.68
26,17,600,362,60.49
26,18,600,362,60.14
26,19,600,362,60.95
26,20,600,362,60.95
26,21,600,363,60.14
26,22,600,363,60.49
26,23,600,362,60.95
26,24,600,362,60.14
26,25,600,362,59.68
26,26,600,362,59.68
26,27,600,362,60.95
26,28,600,362,59.68
26,29,599,362,59.68
26,30,600,362,60.49
26,31,600,362,60.95
26,32,600,362,60.95
26,33,600,362,60.49
26,34,600,362,60.95
26,35,600,362,60.95
26,36,600,362,60.95
26,37,599,362,59.68
26,38,600,362,60.95
26,39,600,362,60.49
26,40,600,362,60.49
26,41,600,362,59.68
26,42,600,362,60.95
26,43,600,362,60.14
26,44,600,362,60.49
26,45,600,362,59.68
26,46,600,362,60.49
26,47,600,362,60.95
26,48,600,362,60.49
26,49,600,362,59.68
26,50,600,362,60.14
26,51,600,362,60.49
26,52,600,362,59.68
26,53,600,362,59.68
26,54,600,362,60.14
26,55,600,362,60.95
26,56,599,362,59.68
26,57,600,362,60.49
26,58,600,362,60.49
26,59,600,362,60.49
26,60,600,362,60.49
26,61,600,362,59.68
26,62,600,362,60.49
26,63,600,362,59.68
26,64,600,362,59.68
26,65,600,362,60.49
26,66,600,362,60.95
26,67,600,362,60.49
26,68,600,362,60.49
26,69,600,362,59.68
26,70,600,362,60.95
26,71,600,362,59.68
26,72,600,362,59.68
26,73,600,362,60.49
26,74,600,362,60.49
26,75,600,362,59.68
26,76,599,362,59.68
26,77,600,363,60.02
26,78,600,362,60.49
26,79,600,362,59.68
26,80,600,362,59.68
26,81,600,362,59.68
26,82,600,363,60.02
26,83,599,362,59.68
26,84,599,362,59.68
26,85,599,362,59.68
26,86,600,362,59.68
26,87,600,362,60.49
26,88,600,362,59.68
26,89,600,362,59.68
26,90,600,362,59.68
26,91,600,362,59.68
26,92,599,362,59.68
26,93,599,362,59.68
26,94,600,362,59.68
26,95,600,362,59.68
26,96,599,362,59.68
26,97,599,362,59.68
26,98,600,362,59.68
26,99,600,362,60.49
26,100,600,363,60.02
26,101,599,362,59.68
26,102,600,362,59.68
26,103,600,362,60.49
26,104,600,363,60.02
26,105,600,362,59.68
26,106,600,362,59.68
26,107,600,362,59.68
26,108,600,362,59.68
26,109,600,362,59.68
26,110,600,363,60.02
26,111,599,362,59.68
26,112,599,362,59.68
26,113,600,362,59.68
26,114,600,362,59.68
26,115,600,362,60.49
26,116,599,362,59.68
26,117,600,362,59.68
26,118,600,363,60.02
26,119,600,362,60.49
26,120,600,362,60.49
26,121,600,362,59.68
26,122,600,362,59.68
26,123,599,362,59.68
26,124,600,362,59.68
26,125,600,362,59.68
26,126,600,362,60.49
26,127,600,362,59.68
26,128,600,362,60.49
26,129,600,362,59.68
26,130,600,362,59.68
26,131,600,362,59.68
26,132,600,362,60.49
26,133,600,362,60.49
26,134,599,362,59.68
26,135,600,362,59.68
26,136,600,362,60.49
26,137,600,362,60.49
26,138,600,362,59.68
26,139,599,362,59.68
26,140,600,362,60.49
26,141,600,362,59.68
26,142,600,362,59.68
26,143,599,362,59.68
26,144,600,362,59.68
26,145,600,363,60.02
26,146,600,362,59.68
26,147,600,362,60.49
26,148,600,362,59.68
26,149,599,362,59.68
26,150,600,363,60.02
26,151,599,362,59.68
26,152,600,362,59.68
26,153,600,362,59.68
26,154,600,362,59.68
26,155,600,362,59.68
26,156,600,362,60.49
26,157,600,362,60.49
26,158,600,362,59.68
26,159,600,362,59.68
26,160,600,362,59.68
26,161,600,362,59.68
26,162,600,362,59.68
26,163,600,362,59.68
26,164,600,362,59.68
26,165,600,362,59.68
26,166,600,362,59.68
26,167,600,362,59.68
26,168,600,362,59.68
26,169,600,362,60.49
26,170,600,362,59.68
26,171,600,362,59.68
26,172,600,362,59.68
26,173,600,362,59.68
26,174,600,362,59.68
26,175,600,363,60.02
26,176,600,362,59.68
26,177,600,362,59.68
26,178,600,362,59.68
26,179,600,362,59.68
26,180,600,362,59.68
26,181,599,362,59.68
26,182,600,362,59.68
26,183,600,362,59.68
26,184,600,362,60.49
26,185,600,362,59.68
26,186,600,362,59.68
26,187,600,363,60.02
26,188,600,362,59.68
26,189,600,362,59.68
26,190,600,362,59.68
26,191,600,362,59.68
26,192,600,362,59.68
26,193,600,362,60.49
26,194,600,362,59.68
26,195,600,362,59.68
26,196,600,362,59.68
26,197,600,362,59.68
26,198,600,362,59.68
26,199,600,362,59.68
26,200,600,362,59.68
26,201,600,362,59.68
